_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
17,A0634505,VEGAS,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,2009-03-24,14 YEARS,2023-07-19,MED M,STRAY,FIELD,,2023-07-21,EUTH,U MED SEV,MED SEV,YALE DR X VASSAR DR,SAN JOSE,2023-07-21
18,A0650982,BABY,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,2009-04-03,14 YEARS,2024-03-29,DEAD,DISPO REQ,OTC OWNED,,2024-03-29,DISPOSAL,,DEAD,,SAN JOSE,2024-03-29
19,A0667846,BANDITO,CAT,BLACK,,DOMESTIC SH,NEUTERED,2009-08-30,15 YEARS,2024-05-28,MED R,OWNER SUR,OTC,,2024-06-17,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-06-26
20,A0667848,MOMIE,CAT,BLACK,,DOMESTIC SH,SPAYED,2009-01-14,15 YEARS,2024-05-28,MED R,OWNER SUR,OTC,,2024-07-14,FOSTER,,HEALTHY,,SAN JOSE,2024-07-14
21,A0671776,SONIC,DOG,GOLD,,MALTESE,NEUTERED,2009-07-02,14 YEARS,2023-09-03,DEAD,DISPO REQ,OTC OWNED,,2023-09-03,DISPOSAL,,DEAD,,SAN JOSE,2023-09-03
22,A0671776,SONIC,DOG,GOLD,,MALTESE,NEUTERED,2009-07-02,14 YEARS,2023-09-03,DEAD,DISPO REQ,OTC OWNED,,2023-09-03,DISPOSAL,,DEAD,,SAN JOSE,2023-09-03
23,A0675645,JASPER,DOG,BROWN,WHITE,YORKSHIRE TERR,NEUTERED,2008-10-22,14 YEARS,2023-07-03,DEAD,DISPO REQ,OTC,,2023-07-03,DISPOSAL,,DEAD,"1200 BLOCK HESTER AVE, SAN JOSE CA 95126",SAN JOSE,2023-07-03
24,A0679497,MUNECA,DOG,WHITE,BROWN,LHASA APSO,SPAYED,2006-09-18,18 YEARS,2024-06-14,MED M,STRAY,OTC,,2024-06-16,TRANSFER,COUNTY,,S BASCOM AVE/SCOTT ST,COUNTY,2024-06-16
25,A0681034,HARLEY,DOG,BLACK,,YORKSHIRE TERR,NEUTERED,,NO AGE,2023-08-26,MED M,STRAY,OTC,,2023-08-26,RTO,,,SERENADE WAY/SONATA WAY,SAN JOSE,2023-08-26
26,A0681034,HARLEY,DOG,BLACK,,YORKSHIRE TERR,NEUTERED,,NO AGE,2024-01-04,HEALTHY,STRAY,OTC,,2024-01-04,RTO,MICROCHIP,HEALTHY,HARMONY LN / SERENADE WAY,SAN JOSE,2024-01-04
27,A0681103,MOCHI,DOG,TAN,WHITE,CAIRN TERRIER,NEUTERED,2008-03-29,16 YEARS,2024-04-18,DEAD,DISPO REQ,OTC,,2024-04-18,DISPOSAL,,DEAD,,SAN JOSE,2024-04-18
28,A0681240,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2024-02-27,DEAD,DISPO REQ,OTC,,2024-02-27,DISPOSAL,,DEAD,RAMSTREE DR/HOSTETTER RD,SAN JOSE,2024-02-27
29,A0685343,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2009-04-28,15 YEARS,2024-04-02,MED SEV,STRAY,OTC,,2024-04-02,EUTH,U MED SEV,MED SEV,SAN BERNARDINO WAY X COSTA MESA DR,SAN JOSE,2024-04-12
30,A0686260,FIDEL,DOG,BLACK,,CHIHUAHUA SH,NEUTERED,,NO AGE,2023-08-08,DEAD,DISPO REQ,OTC OWNED,,2023-08-08,DISPOSAL,,DEAD,,,2023-08-08
31,A0686851,BELLA,CAT,TABBY-ORG,WHITE,DOMESTIC SH,SPAYED,2009-05-14,15 YEARS,2024-05-03,MED EMERG,STRAY,OTC,,2024-05-08,TRANSFER,HSSV,HEALTHY,200 BLOCK EASTSIDE DR,SAN JOSE,2024-05-08
32,A0687992,ACE,CAT,BLACK,,DOMESTIC SH,NEUTERED,2005-06-19,18 YEARS,2023-09-13,DEAD,DISPO REQ,OTC OWNED,,2023-09-13,DISPOSAL,,DEAD,,,2023-09-13
33,A0688249,ZUKI,DOG,TRICOLOR,,CHIHUAHUA LH,NEUTERED,2009-07-20,15 YEARS,2023-11-02,MED SEV,STRAY,FIELD,,2023-11-02,RTO,LICENSE,MED SEV,1500 BLOCK W SAN CARLOS ST,SAN JOSE,2023-11-02
34,A0688582,RUFUS,CAT,TABBY-ORG,WHITE,DOMESTIC LH,NEUTERED,,NO AGE,2024-03-25,DEAD,DISPO REQ,OTC OWNED,,2024-03-25,DISPOSAL,,DEAD,,SAN JOSE,2024-03-25
35,A0689082,THEO,CAT,BLACK,,DOMESTIC SH,NEUTERED,2010-03-14,14 YEARS,2024-01-25,MED M,STRAY,OTC,,2024-02-16,RESCUE,BITTENKTN,MED M,MONTEREY HWY X UMBARGER RD,SAN JOSE,2024-02-16
36,A0690109,PEARL,CAT,GRAY,,DOMESTIC SH,SPAYED,2007-06-02,16 YEARS,2024-05-19,MED EMERG,CONFISCATE,POLICE,,2024-05-19,EUTH,U MED SEV,MED EMERG,,,2024-05-19
37,A0690109,PEARL,CAT,GRAY,,DOMESTIC SH,SPAYED,2007-06-02,16 YEARS,2024-05-19,MED EMERG,CONFISCATE,POLICE,,,,,,,,2024-05-24
38,A0691583,SPUNKY,DOG,WHITE,,MALTESE,SPAYED,2007-02-01,17 YEARS,2024-05-06,DEAD,DISPO REQ,OTC,,2024-05-06,DISPOSAL,,DEAD,,SAN JOSE,2024-05-06
39,A0693446,,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2024-01-02,MED SEV,STRAY,OTC,,2024-01-02,EUTH,U CANCER,MED SEV,COLEMAN AVE/ TAYLOR ST,SAN JOSE,2024-01-02
40,A0700907,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2023-07-27,DEAD,DISPO REQ,FIELD,,2023-07-27,DISPOSAL,,DEAD,1700 BLK YOSEMITE,MILPITAS,2023-07-27
41,A0703542,WINK,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,2010-08-18,14 YEARS,2023-09-29,HEALTHY,CONFISCATE,OWNER DIED,,2023-11-08,FOSTER,,HEALTHY,,SAN JOSE,2023-11-08
42,A0703542,WINK,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,2010-08-18,14 YEARS,2023-11-11,MED M,FOSTER,,,2023-11-17,ADOPTION,,MED M,,SAN JOSE,2023-11-17
43,A0705207,,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2024-05-18,MED SEV,STRAY,OTC,,2024-05-18,EUTH,U MED SEV,MED SEV,STORY RD/ GALAHAD AVE,SAN JOSE,2024-05-18
44,A0707609,TENAYA,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,2008-07-28,15 YEARS,2024-03-02,DEAD,DISPO REQ,OTC,,2024-03-02,DISPOSAL,,DEAD,COLONY KNOLL DR / COLONY GREEN DR,SAN JOSE,2024-03-02
45,A0709697,PITA,DOG,BROWN,SABLE,CHIHUAHUA SH,SPAYED,2010-08-16,14 YEARS,2024-02-29,MED SEV,OWNER SUR,OTC,,2024-02-29,RTO,WALK IN,HEALTHY,,SAN JOSE,2024-03-20
46,A0709697,PITA,DOG,BROWN,SABLE,CHIHUAHUA SH,SPAYED,2010-08-16,14 YEARS,2024-02-15,MED SEV,EUTH REQ,OTC OWNED,,2024-02-15,FOSTER,,MED SEV,,SAN JOSE,2024-02-20
47,A0709913,DWIGHT,DOG,WHITE,,MALTESE,NEUTERED,2010-03-13,13 YEARS,2023-12-28,DEAD,DISPO REQ,OTC,,2023-12-28,DISPOSAL,,DEAD,,SAN JOSE,2023-12-28
48,A0711203,ABBY,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,SPAYED,2010-07-26,13 YEARS,2024-04-07,DEAD,DISPO REQ,,,2024-04-07,DISPOSAL,,DEAD,KING / KAMMERER,SAN JOSE,2024-04-07
49,A0715956,COCOA,DOG,BROWN,,POMERANIAN,SPAYED,,NO AGE,2023-09-14,DEAD,DISPO REQ,OTC OWNED,,2023-09-14,DISPOSAL,,DEAD,,SAN JOSE,2023-09-14
50,A0717780,CONNIE,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,2010-03-16,14 YEARS,2024-06-24,HEALTHY,OWNER SUR,OTC,,2024-07-06,FOSTER,,HEALTHY,,SAN JOSE,2024-07-06
51,A0717781,MIKAELA,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,2010-03-16,14 YEARS,2024-06-24,HEALTHY,OWNER SUR,OTC,,2024-07-06,FOSTER,,HEALTHY,,SAN JOSE,2024-07-06
52,A0720401,PRECIOUS,DOG,TAN,,CHIHUAHUA SH,SPAYED,2010-09-15,13 YEARS,2024-04-09,DEAD,DISPO REQ,OTC,,2024-05-04,DISPOSAL,,DEAD,,SAN JOSE,2024-05-04
53,A0722443,,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,2023-10-18,DEAD,DISPO REQ,OTC,,2023-10-18,DISPOSAL,,DEAD,GLEN EYRIE AVE,SAN JOSE,2023-10-18
54,A0723936,MINA,DOG,BLACK,GRAY,MALTESE,SPAYED,2008-06-09,16 YEARS,2023-12-26,MED R,STRAY,OTC,,2023-12-27,RTO,,,,SAN JOSE,2023-12-27
55,A0728739,SCOUT,DOG,GRAY,WHITE,BEARDED COLLIE,NEUTERED,,NO AGE,2024-06-06,DEAD,DISPO REQ,OTC,,2024-06-06,DISPOSAL,,DEAD,,SAN JOSE,2024-06-06
56,A0729623,RIKO,DOG,TAN,,PIT BULL,NEUTERED,2010-09-09,14 YEARS,2023-09-09,BEH U,CONFISCATE,ASO,,2023-09-19,RTO,,BEH U,,SAN JOSE,2023-09-19
57,A0733231,,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,2023-12-13,DEAD,DISPO REQ,OTC,,2023-12-13,DISPOSAL,,DEAD,CLOGSTON CT / RINEHART DR,SAN JOSE,2023-12-13
58,A0734641,CURLY,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,2011-03-05,13 YEARS,2024-01-03,MED SEV,STRAY,OTC,,2024-01-14,ADOPTION,WALK IN,MED SEV,STORY RD X LUCRIETA AVE,SAN JOSE,2024-01-14
59,A0737899,,CAT,BLACK,,DOMESTIC SH,SPAYED,2010-03-14,14 YEARS,2024-03-12,MED M,STRAY,MEDVET,,2024-03-13,RTF,,FERAL,3000 BLOCK ROSSMORE WAY,SAN JOSE,2024-03-16
60,A0738122,KOBE,DOG,BLACK,,YORKSHIRE TERR,NEUTERED,2010-11-24,13 YEARS,2024-01-12,DEAD,DISPO REQ,OTC OWNED,,2024-01-12,DISPOSAL,,DEAD,,SAN JOSE,2024-01-12
61,A0738884,TIGGER,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2010-07-31,14 YEARS,2023-08-20,MED M,STRAY,MEDVET,,2023-08-21,RTO,,MED M,1000 BLOCK OF LUTHER AVE,SAN JOSE,2023-08-21
62,A0739281,BANDIT,CAT,CREAM,,SIAMESE,NEUTERED,,NO AGE,2023-09-16,MED EMERG,STRAY,FIELD,,2023-09-19,RTO,MICROCHIP,MED EMERG,2700 BLK CRAMER,SAN JOSE,2023-09-19
63,A0739281,BANDIT,CAT,CREAM,,SIAMESE,NEUTERED,,NO AGE,2023-09-17,MED M,STRAY,MEDVET,,2023-09-19,RTO,MICROCHIP,MED M,2700 BLK CRAMER CIR,SAN JOSE,2023-09-19
64,A0740878,,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,,NO AGE,2024-02-26,DEAD,DISPO REQ,OTC,,2024-02-26,DISPOSAL,,DEAD,300 BLOCK S 19TH ST X E WILLIAM ST,SAN JOSE,2024-02-26
65,A0742526,JEWELS,DOG,WHITE,TAN,CHIHUAHUA SH,NEUTERED,2011-04-08,13 YEARS,2024-03-25,HEALTHY,STRAY,OTC,,2024-03-26,RTO,,HEALTHY,N 18TH ST X E MISSION ST,SAN JOSE,2024-03-26
66,A0742938,,CAT,GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2024-04-16,MED M,STRAY,OTC,,2024-04-16,EUTH,U MED SEV,MED SEV,WILLOWMONT AVE X MERIDAN AVE,SAN JOSE,2024-04-16
67,A0743425,KEILY,DOG,BROWN,,CHIHUAHUA SH,SPAYED,2007-06-29,16 YEARS,2024-04-18,DEAD,DISPO REQ,OTC OWNED,,2024-04-18,DISPOSAL,,DEAD,,SAN JOSE,2024-04-18
68,A0743623,CHARLY,DOG,WHITE,,PBGV,NEUTERED,2011-05-13,13 YEARS,2024-02-12,HEALTHY,STRAY,OTC,,2024-02-12,RTO,,HEALTHY,JUNCTION AVE X JUNCTION CT,SAN JOSE,2024-02-12
69,A0745775,DAHLIA,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2011-01-16,13 YEARS,2024-01-16,MED R,STRAY,OTC,,2024-02-15,RESCUE,TONISKITTY,MED R,MONTEREY HWY X UMBARGER,SAN JOSE,2024-02-15
70,A0745843,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2024-06-26,MED SEV,STRAY,OTC,,2024-06-27,EUTH,U MED SEV,MED SEV,E SAN FERNANDO ST,SAN JOSE,2024-06-27
71,A0746306,,CAT,TORBI-BRN,WHITE,DOMESTIC SH,SPAYED,2011-12-18,12 YEARS,2023-12-18,MED R,STRAY,OTC,,2023-12-29,RTF,,HEALTHY,SIERRA MAR DR X GARDENDALE DR,SAN JOSE,2023-12-29
72,A0746740,ZIKIE,DOG,WHITE,,MALTESE,NEUTERED,,NO AGE,2024-02-14,HEALTHY,STRAY,FIELD,,2024-02-14,RTO,,HEALTHY,S WHITE RD X MARTEN AVE,SAN JOSE,2024-02-14
73,A0747376,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2011-12-14,12 YEARS,2023-12-14,MED R,STRAY,MEDVET,,2023-12-26,RTF,,FERAL,0 BLOCK LESTER AVESJ,SAN JOSE,2023-12-26
74,A0747376,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2011-12-14,12 YEARS,2024-01-22,MED SEV,STRAY,OTC,,2024-01-22,EUTH,U CANCER,MED SEV,LESTER AVE X LINCOLN AVE,SAN JOSE,2024-03-07
75,A0748274,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2011-05-02,12 YEARS,2023-12-22,MED SEV,STRAY,FIELD,,2023-12-22,EUTH,,DEAD,TOMASINA CT/ JOSEPH AVE,SAN JOSE,2023-12-22
76,A0751651,MEW,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,2024-05-01,MED R,STRAY,,,2024-05-03,RTO,,HEALTHY,TOURNEY DR X CHERTSEY CT,SAN JOSE,2024-05-03
77,A0752222,KLOE,DOG,TAN,,CHINESE SHARPEI,SPAYED,2009-06-20,15 YEARS,2024-06-01,DEAD,DISPO REQ,OTC OWNED,,2024-06-01,DISPOSAL,,DEAD,,SAN JOSE,2024-06-01
78,A0753912,SASHA,DOG,ORANGE,,MALTESE,SPAYED,2007-09-17,16 YEARS,2024-02-23,DEAD,DISPO REQ,OTC OWNED,,2024-02-23,DISPOSAL,,DEAD,,SAN JOSE,2024-02-23
79,A0755726,CHULA,DOG,TAN,CREAM,CHIHUAHUA SH,SPAYED,2010-09-28,14 YEARS,2023-11-26,MED M,STRAY,OTC,,2023-11-26,RTO,MICROCHIP,MED M,JUNE AVE/PRIMM AVE,SAN JOSE,2023-11-26
80,A0759565,KATE,DOG,TAN,WHITE,CHIHUAHUA LH,SPAYED,2011-01-22,13 YEARS,2024-05-28,DEAD,DISPO REQ,OTC OWNED,,2024-05-28,DISPOSAL,,DEAD,,SAN JOSE,2024-05-28
81,A0760302,SAM,DOG,BROWN,,WELSH CORGI CAR,NEUTERED,2007-10-22,15 YEARS,2023-07-29,DEAD,DISPO REQ,OTC,,2023-07-29,DISPOSAL,,DEAD,,SAN JOSE,2023-07-29
82,A0760687,SPOT,DOG,BLACK,WHITE,CHIHUAHUA SH,MALE,2006-10-24,18 YEARS,2024-03-22,MED M,STRAY,OTC,,2024-03-23,RTO,,MED M,SUMMERSIDE DR X MCLAUGHLIN AVE,SAN JOSE,2024-03-23
83,A0761063,XIAOHEI,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2011-03-26,12 YEARS,2023-08-09,DEAD,DISPO REQ,OTC OWNED,,2023-08-09,DISPOSAL,,DEAD,,,2023-08-09
84,A0761483,TITO,DOG,BLACK,,CHIHUAHUA SH,NEUTERED,2011-04-27,13 YEARS,2024-02-20,HEALTHY,CONFISCATE,HOSPITAL,,2024-02-22,RTO,,HEALTHY,,SAN JOSE,2024-02-22
85,A0767763,LUCAS,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2011-04-30,13 YEARS,2024-05-03,DEAD,DISPO REQ,OTC OWNED,,2024-05-03,DISPOSAL,,DEAD,,SAN JOSE,2024-05-03
86,A0769924,JADA,DOG,BLUE,WHITE,PIT BULL,SPAYED,2010-02-13,14 YEARS,2024-01-27,HEALTHY,FOSTER,,,2024-01-27,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-01-27
87,A0772688,LIZZIE,DOG,TRICOLOR,,CHIHUAHUA SH,SPAYED,2011-03-15,13 YEARS,2023-07-03,MED M,STRAY,FIELD,,2023-07-03,RTO,MICROCHIP,,SENTER RD/ EL CAJON,SAN JOSE,2023-07-03
88,A0772856,GIZMO,DOG,BLACK,,PUG,NEUTERED,2010-04-13,14 YEARS,2023-12-01,MED M,STRAY,FIELD,,2023-12-02,RTO,,,GREAK OAKS DR X GREY GHOST AVE,SAN JOSE,2023-12-02
89,A0774174,OSO,DOG,BLACK,,LABRADOR RETR,MALE,,NO AGE,2024-05-11,MED R,STRAY,OTC,,2024-05-11,RTO,WALK IN,MED R,WILLOW ST X SETTLE AVE,SAN JOSE,2024-05-11
90,A0774388,,CAT,TABBY-BRN,,DOMESTIC MH,NEUTERED,,NO AGE,2023-12-28,DEAD,DISPO REQ,FIELD,,2023-12-28,DISPOSAL,,DEAD,2700 BLOCK MONTEREY RD,SAN JOSE,2023-12-28
91,A0775944,BELLA,DOG,BLACK,TAN,YORKSHIRE TERR,SPAYED,2008-11-08,15 YEARS,2024-05-31,DEAD,DISPO REQ,OTC,,2024-05-31,DISPOSAL,,DEAD,,SAN JOSE,2024-05-31
92,A0777123,,CAT,PT-LILAC,BROWN,DOMESTIC SH,SPAYED,,NO AGE,2023-12-03,DEAD,DISPO REQ,OTC,,2023-12-03,DISPOSAL,,DEAD,HOBART AVE,SAN JOSE,2023-12-03
93,A0777571,BUTTER,DOG,BLACK,BROWN,CHIHUAHUA SH,SPAYED,2011-06-15,13 YEARS,2023-12-15,HEALTHY,STRAY,OTC,,2023-12-16,RTO,MICROCHIP,HEALTHY,PAYNE AVE X SAN TOMAS AQUINO HWY,SAN JOSE,2023-12-16
94,A0778542,BUZZ,DOG,TAN,,SHIH TZU,NEUTERED,2011-06-27,13 YEARS,2023-07-07,MED SEV,EUTH REQ,OTC OWNED,,2023-07-07,RTO,,,,,2023-07-07
95,A0779645,MADDIE,DOG,BLACK,WHITE,AMER BULLDOG,SPAYED,2012-01-13,12 YEARS,2024-06-28,DEAD,DISPO REQ,OTC,,,,,,,SANTA CLARA,2024-06-28
96,A0779843,LOLA,CAT,PT-SEAL,,SIAMESE,SPAYED,2011-05-15,13 YEARS,2024-05-08,MED R,OWNER SUR,OTC,,2024-05-25,ADOPTION,WALK IN,,,SAN JOSE,2024-05-25
97,A0779938,HALEY,CAT,BLACK,,DOMESTIC SH,SPAYED,2005-03-15,19 YEARS,2023-08-25,HEALTHY,STRAY,OTC,,2023-08-25,RTO,,HEALTHY,NEWPORT AVE/LAURIE AVE,SAN JOSE,2023-08-25
98,A0780174,,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2023-11-27,MED SEV,STRAY,OTC,,2023-11-27,EUTH,U MED SEV,MED SEV,"S 7TH ST, SAN JOSE CA 95112",SAN JOSE,2023-11-27
99,A0780339,,CAT,BLACK,,DOMESTIC SH,NEUTERED,2011-05-09,13 YEARS,2024-05-08,MED SEV,STRAY,MEDVET,,2024-05-21,EUTH,U CANCER,MED SEV,EUGENE AVE,SAN JOSE,2024-05-21
100,A0781478,,CAT,TABBY-GRAY,,DOMESTIC MH,NEUTERED,,NO AGE,2024-03-29,MED SEV,STRAY,FIELD,,2024-03-29,EUTH,U MED SEV,MED SEV,S WHITE RD X MILFORD WAY,SAN JOSE,2024-03-29
101,A0781704,SNOOPY,DOG,RED,,BEAGLE,NEUTERED,2010-10-05,12 YEARS,2023-07-17,DEAD,DISPO REQ,OTC,,2023-07-17,DISPOSAL,,DEAD,,SAN JOSE,2023-07-17
102,A0782727,PENELOPE,DOG,TAN,,CHIHUAHUA SH,FEMALE,2011-05-05,12 YEARS,2023-09-01,DEAD,DISPO REQ,OTC,,2023-09-01,DISPOSAL,,DEAD,,SAN JOSE,2023-09-01
103,A0782901,TIPSY,DOG,BRINDLE-BN,WHITE,CHIHUAHUA SH,SPAYED,2009-11-10,14 YEARS,2024-06-27,DEAD,DISPO REQ,OTC,,2024-06-27,DISPOSAL,,DEAD,MCREERY AVE,SAN JOSE,2024-06-27
104,A0783609,,CAT,WHITE,,DOMESTIC SH,NEUTERED,,NO AGE,2023-12-28,MED SEV,STRAY,OTC,,2023-12-28,EUTH,U CANCER,MED EMERG,S 4TH ST X E SAN SALVADOR ST,SAN JOSE,2023-12-28
105,A0786300,RIN,DOG,BLACK,,MALTESE,SPAYED,2011-10-02,13 YEARS,2024-04-15,HEALTHY,STRAY,OTC,,2024-04-16,RTO,,HEALTHY,CAS DR X E CAPITOL EXPY,SAN JOSE,2024-04-16
106,A0786359,TINY,DOG,BROWN,,CHIHUAHUA SH,SPAYED,2011-05-08,1 YEAR,2023-08-29,DEAD,CONFISCATE,ASO,,2023-08-31,RTO,,DEAD,,SAN JOSE,2023-08-31
107,A0787414,PIE,DOG,CHOCOLATE,WHITE,CHIHUAHUA SH,MALE,2014-12-19,8 YEARS,2023-09-12,DEAD,DISPO REQ,OTC OWNED,,2023-09-12,DISPOSAL,,DEAD,,SAN JOSE,2023-09-12
108,A0787682,SHADOW,CAT,PT-SEAL,,DOMESTIC SH,NEUTERED,2015-02-26,9 YEARS,2024-02-23,MED EMERG,EUTH REQ,FIELD OWN,,2024-03-07,RTO,,,,SAN JOSE,2024-03-07
109,A0795995,TIPPED,CAT,TORTIE-B\O,,DOMESTIC MH,SPAYED,,NO AGE,2024-04-17,DEAD,DISPO REQ,OTC,,2024-04-17,DISPOSAL,,DEAD,MANZANITA CT X BLUE SPRUCE WAY,MILPITAS,2024-04-17
110,A0796633,INDY,DOG,TAN,WHITE,PIT BULL,SPAYED,2012-06-25,11 YEARS,2023-09-20,DEAD,DISPO REQ,OTC OWNED,,2023-09-20,DISPOSAL,,DEAD,,,2023-09-20
111,A0799377,CHARLIE,DOG,WHITE,,MALTESE,NEUTERED,2011-11-24,12 YEARS,2024-01-16,HEALTHY,STRAY,OTC,IP ADOPT,2024-01-17,RTO,WALK IN,HEALTHY,BRIAR RIDGE DR/BLOSSOM HILL RD,SAN JOSE,2024-01-17
